client_id,שם,גיל,מגדר,עיר,סוג_שירות,תאריך_הצטרפות,סכום_תיק,הכנסה_חודשית,מספר_פניות_שנה_אחרונה,זמן_תגובה_ממוצע_שעות,שביעות_רצון,סטטוס,תאריך_נטישה
C1524,גיא רוזן,65,זכר,מודיעין,ייעוץ השקעות,23/10/2022,1179882,2944,13,76.7,8,לא פעיל,08/02/2023
C1525,יותם גרינברג,71,זכר,מודיעין,ביטוח רכב,07/02/2024,1208126,2925,5,31.9,6,פעיל,
C1526,אלון תמיר,48,זכר,רעננה,פנסיה,16/04/2019,523392,6470,11,38,8,פעיל,
C1527,נדב אזולאי,37,זכר,גבעתיים,ביטוח בריאות,26/07/2019,589631,4136,13,33.4,3,פעיל,
C1528,נתן גולדשטיין,53,זכר,רעננה,פנסיה,02/09/2019,490876,6006,2,46.9,7,לא פעיל,12/01/2021
C1529,שלמה פרץ,38,זכר,גבעתיים,ביטוח חיים,24/10/2020,1041021,5739,13,13,2,פעיל,
C1530,אמיר אלון,46,זכר,הוד השרון,ביטוח חיים,23/11/2025,1544178,6823,15,70.2,6,פעיל,
C1531,מיכל פרידמן,57,נקבה,אשדוד,פנסיה,30/07/2019,494865,2092,8,32.2,3,פעיל,
C1532,איתי רוזן,48,זכר,פתח תקווה,תכנון פיננסי,29/07/2020,360382,1093,6,27.3,5,פעיל,
C1533,אריאל ברזילי,45,זכר,תל אביב,ביטוח בריאות,02/11/2019,141337,351,9,82.7,1,פעיל,
C1534,יריב רוזן,29,זכר,אשדוד,תכנון פיננסי,27/04/2021,834052,4306,10,8.3,10,פעיל,
C1535,טל הרשקוביץ,48,זכר,רמת גן,ייעוץ השקעות,21/04/2023,821779,4212,9,12.1,7,לא פעיל,01/02/2024
C1536,יותם מלכה,49,זכר,חיפה,ייעוץ השקעות,14/11/2023,549697,5965,8,57,4,פעיל,
C1537,יוסי ביטון,54,זכר,רעננה,ביטוח בריאות,29/08/2021,931113,5366,5,59.8,8,פעיל,
C1538,דוד לביא,35,זכר,אשדוד,חיסכון ארוך טווח,12/11/2025,1402411,6359,1,26,10,פעיל,
C1539,תומר כהן,58,זכר,מודיעין,ביטוח חיים,29/08/2020,1213054,3771,13,36.8,1,פעיל,
C1540,עידו גולדשטיין,69,זכר,תל אביב,ביטוח חיים,16/02/2020,94282,2825,0,34.7,8,לא פעיל,10/10/2021
C1541,בועז טויטו,51,זכר,פתח תקווה,ייעוץ השקעות,18/08/2021,591841,728,9,57.5,6,פעיל,
C1542,הדר ביטון,59,נקבה,אשדוד,ביטוח חיים,11/10/2025,1592282,2452,5,55.6,8,פעיל,
C1543,עומר פרידמן,25,זכר,הוד השרון,ייעוץ מס,29/04/2025,1243082,6889,14,31.9,9,פעיל,
C1544,לירן כספי,50,זכר,רמת גן,ייעוץ מס,18/02/2019,927326,1833,8,89.3,8,לא פעיל,22/08/2020
C1545,רועי וינר,46,זכר,חיפה,תכנון פיננסי,29/04/2023,1022496,992,2,64.7,3,לא פעיל,07/03/2025
C1546,דנה ברזילי,51,נקבה,תל אביב,ייעוץ מס,06/05/2023,1393564,1176,14,59,5,פעיל,
C1547,גדי הלוי,52,זכר,ראשון לציון,ייעוץ מס,11/03/2019,574657,4813,14,53.3,8,פעיל,
C1548,רחל מור,37,נקבה,חיפה,ייעוץ מס,25/06/2021,650446,2142,11,18.5,9,פעיל,
C1549,רונית סגל,64,נקבה,רעננה,חיסכון ארוך טווח,21/05/2024,641072,6893,9,89.7,10,פעיל,
C1550,ליאור פרידמן,67,זכר,גבעתיים,פנסיה,01/08/2023,1180742,508,2,88.3,1,פעיל,
C1551,יריב לרנר,32,זכר,גבעתיים,ייעוץ השקעות,07/01/2025,1020617,1252,2,84.2,7,פעיל,
C1552,שירה ברזילי,33,נקבה,רעננה,ביטוח רכב,09/01/2020,494966,3202,5,5,7,פעיל,
C1553,דוד אלון,71,זכר,ראשון לציון,ביטוח חיים,14/09/2024,1091096,5704,2,42.5,7,לא פעיל,09/01/2025
C1554,רון פרידמן,47,זכר,באר שבע,ייעוץ השקעות,24/07/2025,1513245,5594,5,53.1,2,לא פעיל,30/11/2026
C1555,משה בן דוד,53,זכר,ראשון לציון,ייעוץ השקעות,09/05/2021,1091167,6594,9,45.2,5,פעיל,
C1556,ליאור פרנקל,65,זכר,רעננה,פנסיה,06/07/2019,747165,6826,6,83.9,9,לא פעיל,04/03/2020
C1557,משה ויס,66,זכר,נתניה,פנסיה,15/02/2021,630507,4250,3,9.7,7,פעיל,
C1558,יניב כספי,66,זכר,מודיעין,ביטוח רכב,20/06/2020,897853,5418,12,49.6,3,לא פעיל,02/01/2022
C1559,מורן ברק,64,נקבה,פתח תקווה,פנסיה,29/11/2020,453699,6331,2,58.7,2,לא פעיל,27/06/2022
C1560,גיא עוז,26,זכר,באר שבע,ביטוח חיים,27/12/2020,700686,916,2,22.6,8,לא פעיל,21/04/2022
C1561,צחי חזן,69,זכר,כפר סבא,חיסכון ארוך טווח,28/02/2024,1009343,5501,6,22.7,3,פעיל,
C1562,יריב מימון,26,זכר,ירושלים,פנסיה,25/04/2022,654047,1213,11,84.8,9,פעיל,
C1563,דוד כספי,47,זכר,רעננה,חיסכון ארוך טווח,13/02/2019,50000,1231,1,73.7,8,פעיל,
C1564,יריב גנור,67,זכר,פתח תקווה,ייעוץ מס,17/10/2020,813239,224,3,69.3,8,פעיל,
C1565,רון גרינברג,61,זכר,תל אביב,תכנון פיננסי,06/02/2022,661798,5805,0,43,9,פעיל,
C1566,אמיר סלומון,57,זכר,תל אביב,תכנון פיננסי,07/11/2024,1144499,677,1,61.6,9,לא פעיל,09/01/2026
C1567,סהר אוחנה,32,זכר,רמת גן,ביטוח חיים,21/05/2022,787562,1793,6,68.1,10,פעיל,
C1568,עומר שמש,65,זכר,ירושלים,ייעוץ מס,09/04/2023,756662,5445,15,77.1,6,פעיל,
C1569,קובי ינאי,26,זכר,רעננה,ייעוץ מס,07/01/2025,1073947,4025,14,95.3,6,פעיל,
C1570,איתי טויטו,29,זכר,ראשון לציון,ייעוץ השקעות,31/03/2021,625633,4520,5,55.4,2,פעיל,
C1571,דוד מור,54,זכר,מודיעין,ייעוץ השקעות,06/03/2025,1300735,4231,3,78.9,2,פעיל,
C1572,טל עזרא,25,זכר,הוד השרון,תכנון פיננסי,23/05/2019,879422,1650,4,63.9,1,פעיל,
C1573,דוד בנימין,58,זכר,אשדוד,ביטוח בריאות,10/02/2019,481536,3727,3,80,10,לא פעיל,04/08/2019
C1574,עדי ביטון,39,נקבה,הרצליה,פנסיה,16/10/2024,1194334,2273,1,90.8,4,לא פעיל,26/08/2026
C1575,נתן כספי,68,זכר,רעננה,פנסיה,12/02/2022,1088585,5746,12,57.6,8,לא פעיל,09/08/2022
C1576,אבי אלון,51,זכר,אשדוד,ייעוץ השקעות,01/06/2022,1333054,2102,3,30.8,10,לא פעיל,18/01/2024
C1577,עמית גבאי,70,זכר,הרצליה,חיסכון ארוך טווח,18/05/2023,1204814,2083,13,64.9,9,פעיל,
C1578,נדב שגיא,37,זכר,הרצליה,ייעוץ מס,04/11/2019,833222,5531,15,2.6,2,פעיל,
C1579,אמיר שגיא,45,זכר,ירושלים,תכנון פיננסי,10/03/2023,670573,3373,0,54,6,לא פעיל,04/11/2023
C1580,עידו דרור,27,זכר,אשדוד,חיסכון ארוך טווח,12/05/2025,1418311,1858,6,40.2,6,פעיל,
C1581,רחל ברזילי,55,נקבה,מודיעין,ייעוץ מס,07/01/2023,811343,2427,5,4.1,4,פעיל,
C1582,מורן דהן,38,נקבה,הוד השרון,פנסיה,16/04/2025,1241513,2855,6,48.8,6,פעיל,
C1583,משה דיין,71,זכר,ראשון לציון,ביטוח חיים,26/05/2021,946632,3071,15,47,7,פעיל,
C1584,מיכל סגל,33,נקבה,רעננה,ייעוץ השקעות,08/03/2022,277754,2673,3,6.5,7,לא פעיל,13/11/2023
C1585,אורלי ברק,65,נקבה,כפר סבא,פנסיה,12/09/2019,641321,6701,6,90.8,5,לא פעיל,04/05/2020
C1586,עמית גרינברג,62,זכר,מודיעין,פנסיה,02/09/2023,1384592,6241,9,70.3,3,פעיל,
C1587,משה בנימין,37,זכר,אשדוד,תכנון פיננסי,03/01/2020,441690,5108,7,60.2,9,פעיל,
C1588,יצחק ברזילי,67,זכר,הרצליה,ייעוץ השקעות,08/10/2020,822185,4768,10,31.5,5,פעיל,
C1589,איתי אלון,55,זכר,כפר סבא,פנסיה,06/04/2020,798922,5364,10,14.8,8,פעיל,
C1590,רון אלון,52,זכר,נתניה,ביטוח בריאות,15/02/2019,562651,5029,6,61.7,1,פעיל,
C1591,שרה לוי,37,נקבה,פתח תקווה,ביטוח חיים,31/10/2023,1410660,6644,4,56.4,10,פעיל,
C1592,דני מור,31,זכר,הוד השרון,פנסיה,12/01/2022,1408511,1611,8,18.2,10,פעיל,
C1593,ניר גנור,30,זכר,פתח תקווה,פנסיה,18/05/2023,1216467,3605,1,6.7,1,פעיל,
C1594,אבי מור,47,זכר,מודיעין,ייעוץ השקעות,02/01/2024,1459241,5837,5,15.9,3,לא פעיל,18/08/2024
C1595,עידו בן דוד,49,זכר,ראשון לציון,ייעוץ מס,05/06/2023,1133058,456,13,47.4,5,לא פעיל,29/10/2023
C1596,לירן דהן,52,זכר,גבעתיים,ייעוץ מס,29/07/2021,923354,2728,11,72.9,8,פעיל,
C1597,שלמה לוי,63,זכר,הוד השרון,ייעוץ השקעות,28/11/2022,1284497,5080,10,2.7,7,פעיל,
C1598,קובי אברהם,40,זכר,חיפה,ביטוח בריאות,23/02/2022,1358053,1761,0,25.6,5,לא פעיל,15/04/2023
C1599,יוסי קדוש,39,זכר,הוד השרון,פנסיה,14/07/2024,1532902,3682,7,42.2,10,פעיל,
C1600,דור ינאי,54,זכר,חיפה,תכנון פיננסי,14/10/2025,1974331,1723,13,51.2,8,לא פעיל,05/01/2026
C1601,יוסי מור,54,זכר,גבעתיים,ביטוח חיים,27/04/2021,1097305,5089,6,34.2,5,פעיל,
C1602,אורלי בן דוד,27,נקבה,הרצליה,ייעוץ מס,04/11/2020,604028,489,15,20.1,1,לא פעיל,16/04/2022
C1603,בועז אזולאי,72,זכר,נתניה,ביטוח רכב,09/12/2022,1272835,4709,9,30.7,7,לא פעיל,25/02/2024
C1604,קובי קליין,49,זכר,כפר סבא,ביטוח חיים,25/03/2023,825325,1567,3,67.3,8,פעיל,
C1605,מאור דהן,47,זכר,רעננה,חיסכון ארוך טווח,27/05/2020,228764,1955,14,27,10,לא פעיל,16/03/2021
C1606,ניר דהן,43,זכר,כפר סבא,פנסיה,15/09/2020,466658,3817,3,56.7,2,לא פעיל,26/05/2022
C1607,שני בן דוד,62,נקבה,הוד השרון,ביטוח רכב,03/04/2025,1457238,5196,4,95.4,8,לא פעיל,12/01/2027
C1608,יריב טובים,44,זכר,נתניה,חיסכון ארוך טווח,26/10/2022,731200,5766,6,36.8,10,פעיל,
C1609,קובי מזרחי,47,זכר,הרצליה,תכנון פיננסי,24/10/2024,1435635,915,4,58.8,7,לא פעיל,22/02/2025
C1610,מאור בנימין,25,זכר,כפר סבא,ביטוח בריאות,07/05/2025,1300535,1874,8,45.2,8,לא פעיל,05/07/2026
C1611,אורלי שגיא,32,נקבה,רמת גן,ביטוח חיים,14/09/2019,904733,6420,4,29.6,10,לא פעיל,04/02/2020
C1612,דני הררי,34,זכר,חיפה,תכנון פיננסי,20/11/2019,606304,3577,13,7,8,פעיל,
C1613,אמיר אזולאי,68,זכר,ירושלים,פנסיה,03/08/2025,1535952,1983,12,23.3,1,פעיל,
C1614,אבי עוז,69,זכר,רעננה,ייעוץ מס,01/09/2022,1107601,2560,5,6.2,7,פעיל,
C1615,לירן צור,72,זכר,אשדוד,ייעוץ השקעות,10/12/2023,921051,3436,14,64.8,1,לא פעיל,08/05/2025
C1616,נתן דהן,33,זכר,חיפה,ייעוץ השקעות,23/10/2020,761798,6441,0,26.8,4,פעיל,
C1617,ניר קדוש,35,זכר,ירושלים,ייעוץ השקעות,25/11/2022,1278802,4906,7,42.4,2,לא פעיל,23/06/2023
C1618,דנה בן דוד,35,נקבה,אשדוד,חיסכון ארוך טווח,21/08/2024,1178593,2807,12,22.3,6,פעיל,
C1619,שלמה סופר,55,זכר,חיפה,ייעוץ השקעות,10/08/2022,913643,5369,5,79.5,7,פעיל,
C1620,איתי דרור,71,זכר,רעננה,ביטוח רכב,13/06/2025,1529730,2915,6,47.8,9,פעיל,
C1621,נועה אלון,26,נקבה,פתח תקווה,ייעוץ השקעות,02/08/2019,263988,1491,10,80.5,2,פעיל,
C1622,יריב דוידוביץ,47,זכר,גבעתיים,ביטוח חיים,06/10/2021,1257128,4417,13,53.7,4,לא פעיל,10/02/2022
C1623,מאור דרור,48,זכר,גבעתיים,ביטוח רכב,03/01/2025,1277326,3045,13,37.4,9,לא פעיל,06/07/2025
C1624,דוד ברזילי,59,זכר,מודיעין,פנסיה,19/10/2020,729951,1248,0,78.6,2,לא פעיל,20/05/2022
C1625,גדי צור,58,זכר,תל אביב,פנסיה,22/10/2020,562883,6294,14,94,1,פעיל,
C1626,מורן גולדשטיין,40,נקבה,תל אביב,ייעוץ מס,13/08/2019,612796,5125,1,77.6,7,פעיל,
C1627,שני גולדשטיין,62,נקבה,אשדוד,ביטוח חיים,23/09/2020,715639,210,6,34,4,פעיל,
C1628,משה ברק,60,זכר,נתניה,ייעוץ השקעות,04/04/2025,1318811,4888,4,95.1,4,לא פעיל,15/09/2026
C1629,שירה אלון,32,נקבה,תל אביב,חיסכון ארוך טווח,30/10/2024,1053260,5593,9,68.7,10,לא פעיל,15/05/2025
C1630,אלון בנימין,67,זכר,פתח תקווה,פנסיה,23/04/2019,648497,5918,11,59.4,4,פעיל,
C1631,עדי פרץ,49,נקבה,אשדוד,ייעוץ מס,10/04/2025,1173117,4457,0,90,8,פעיל,
C1632,גל ברזילי,70,נקבה,באר שבע,ייעוץ מס,27/03/2023,486156,6954,7,45.5,6,לא פעיל,23/02/2025
C1633,קובי גנור,38,זכר,כפר סבא,תכנון פיננסי,02/08/2022,637019,5587,11,81.1,5,פעיל,
C1634,בועז כספי,72,זכר,נתניה,ייעוץ מס,23/05/2024,1685936,5358,3,16.6,9,פעיל,
C1635,אריאל גולדשטיין,44,זכר,רעננה,ביטוח חיים,07/11/2019,922561,5719,11,80.5,9,פעיל,
C1636,תומר אברהם,45,זכר,חיפה,ייעוץ השקעות,27/07/2021,1042642,4429,8,31.8,9,לא פעיל,30/07/2022
C1637,אריאל אברהם,39,זכר,רעננה,ביטוח רכב,02/11/2023,1203341,3278,15,31.8,10,פעיל,
C1638,אורלי אלון,70,נקבה,ראשון לציון,ביטוח חיים,25/07/2025,1109130,6002,7,22.3,2,פעיל,
C1639,טל מלכה,55,זכר,נתניה,ביטוח חיים,10/12/2021,898543,3590,9,39.3,10,פעיל,
C1640,לירן בכר,34,זכר,ראשון לציון,ייעוץ השקעות,05/03/2023,888124,128,14,14,9,לא פעיל,17/04/2024
C1641,איתי שטרן,70,זכר,ירושלים,ביטוח חיים,15/06/2019,829759,2011,11,44.1,10,לא פעיל,11/09/2020
C1642,אבי ברזילי,48,זכר,הרצליה,ייעוץ השקעות,17/06/2023,696431,217,4,25.3,9,פעיל,
C1643,שלמה תמיר,26,זכר,הוד השרון,ביטוח חיים,24/12/2023,1030064,528,8,90.1,3,פעיל,
C1644,מיכל גולדשטיין,53,נקבה,באר שבע,ביטוח רכב,15/06/2024,1361189,3719,11,2.8,5,לא פעיל,17/06/2025
C1645,סהר לביא,60,זכר,פתח תקווה,חיסכון ארוך טווח,05/06/2022,873295,6539,5,57.1,8,לא פעיל,17/06/2023
C1646,משה שמש,46,זכר,חיפה,חיסכון ארוך טווח,28/09/2023,1116487,1344,11,49.3,9,פעיל,
C1647,קובי הלוי,51,זכר,מודיעין,חיסכון ארוך טווח,18/08/2024,1291163,2097,14,34.8,3,לא פעיל,17/08/2025
C1648,יצחק ביטון,29,זכר,גבעתיים,ייעוץ השקעות,16/06/2024,1403135,4469,2,26.4,8,פעיל,
C1649,רון מור,46,זכר,חיפה,פנסיה,31/03/2025,1130867,6278,0,39.5,1,פעיל,
C1650,רונית פרידמן,41,נקבה,באר שבע,ביטוח רכב,19/01/2022,714367,4663,2,80.3,4,פעיל,
C1651,גדי מלכה,30,זכר,אשדוד,ביטוח חיים,23/07/2023,1376202,2871,12,44.7,6,לא פעיל,27/05/2024
C1652,אריאל פרץ,55,זכר,ראשון לציון,ביטוח בריאות,11/08/2025,1230237,5204,4,23.4,9,פעיל,
C1653,יניב עזרא,50,זכר,חיפה,ייעוץ השקעות,01/08/2023,570304,3650,11,7.9,2,פעיל,
C1654,גדי כספי,30,זכר,הוד השרון,ביטוח בריאות,05/08/2024,1110618,906,4,90.2,3,לא פעיל,13/02/2026
C1655,איתי ביטון,44,זכר,פתח תקווה,פנסיה,08/06/2022,620806,606,11,57.3,5,פעיל,
C1656,שרה שפירא,33,נקבה,באר שבע,חיסכון ארוך טווח,30/01/2025,1602338,122,0,53.6,5,פעיל,
C1657,קובי אוחנה,53,זכר,רמת גן,ביטוח חיים,06/10/2020,824054,5374,6,19.9,6,פעיל,
C1658,יריב קדוש,72,זכר,הרצליה,ייעוץ מס,12/05/2021,627681,1186,2,36.2,10,לא פעיל,26/12/2022
C1659,דני כץ,26,זכר,הרצליה,ייעוץ מס,16/05/2020,771291,5954,11,62,10,פעיל,
C1660,יריב כהן,46,זכר,ראשון לציון,ביטוח חיים,30/09/2019,382286,1995,15,81.8,8,פעיל,
C1661,רחל אלון,61,נקבה,פתח תקווה,פנסיה,19/11/2022,694230,1116,13,41.4,3,פעיל,
C1662,אייל דהן,38,זכר,ראשון לציון,ייעוץ מס,05/03/2021,1089395,4305,6,70.6,8,פעיל,
C1663,אלון צדיק,32,זכר,תל אביב,חיסכון ארוך טווח,28/08/2024,1333078,4587,5,16.4,9,פעיל,
C1664,בועז דיין,44,זכר,מודיעין,ייעוץ מס,14/02/2025,1440408,6686,8,50.1,8,פעיל,
C1665,נדב סלומון,55,זכר,הוד השרון,ייעוץ השקעות,19/09/2025,1493695,1726,2,6.1,10,פעיל,
C1666,גדי לרנר,72,זכר,ראשון לציון,ביטוח רכב,25/11/2021,1245106,6637,3,66.9,3,לא פעיל,21/04/2023
C1667,ניר בוחבוט,55,זכר,רמת גן,חיסכון ארוך טווח,12/06/2019,50000,6502,10,4.8,1,פעיל,
C1668,יעל פרץ,72,נקבה,ירושלים,ביטוח רכב,28/08/2024,1527764,5964,4,16,1,לא פעיל,22/02/2025
C1669,אמיר רוזן,47,זכר,ראשון לציון,ייעוץ השקעות,29/02/2024,1002493,3780,5,48.9,2,לא פעיל,05/09/2025
C1670,קובי רפפורט,37,זכר,תל אביב,חיסכון ארוך טווח,05/09/2025,1269395,1391,4,89.1,7,פעיל,
C1671,יניב ינאי,44,זכר,אשדוד,חיסכון ארוך טווח,17/06/2023,1069219,2341,3,55.2,5,פעיל,
C1672,עידו מזרחי,30,זכר,פתח תקווה,פנסיה,08/12/2023,970693,3698,6,87.1,10,לא פעיל,12/11/2024
C1673,יותם כספי,58,זכר,באר שבע,תכנון פיננסי,26/07/2020,814054,6955,2,55.8,6,לא פעיל,31/05/2021
C1674,רועי עזרא,72,זכר,רעננה,ביטוח בריאות,04/03/2025,1719672,1768,4,64.3,9,פעיל,
C1675,צחי לוי,45,זכר,גבעתיים,תכנון פיננסי,13/09/2022,1041420,5043,5,77.6,5,לא פעיל,26/06/2024
C1676,איתי רוט,50,זכר,רמת גן,ייעוץ מס,24/12/2024,1100514,6659,0,74.1,8,פעיל,
C1677,אלון פרץ,63,זכר,כפר סבא,ייעוץ מס,18/11/2022,864252,4356,12,68.1,1,לא פעיל,05/10/2024
C1678,איתי מלכה,48,זכר,ראשון לציון,ייעוץ מס,27/07/2020,317679,4994,13,36.7,2,פעיל,
C1679,משה גולדשטיין,32,זכר,רמת גן,פנסיה,26/08/2020,611074,5940,13,34.3,5,לא פעיל,10/12/2020
C1680,יוסי בוחבוט,26,זכר,מודיעין,תכנון פיננסי,02/06/2022,804991,1639,2,29,6,פעיל,
C1681,יותם קליין,54,זכר,אשדוד,חיסכון ארוך טווח,26/10/2023,1325771,6997,14,20.7,5,לא פעיל,11/05/2024
C1682,גדי אזולאי,72,זכר,מודיעין,חיסכון ארוך טווח,14/04/2023,1026060,2325,5,3.8,7,לא פעיל,15/12/2023
C1683,נתן ביטון,29,זכר,כפר סבא,ביטוח בריאות,17/02/2021,1256797,4777,14,63.4,2,פעיל,
C1684,לירן שטרן,47,זכר,ירושלים,תכנון פיננסי,27/08/2021,718606,5514,13,80.6,1,פעיל,
C1685,צחי מור,33,זכר,מודיעין,ביטוח רכב,18/05/2025,1037297,382,11,68.7,1,פעיל,
C1686,אריאל גנור,72,זכר,גבעתיים,ביטוח בריאות,30/11/2025,1361743,1282,10,11.8,1,לא פעיל,25/09/2026
C1687,עדי רוזן,52,נקבה,ראשון לציון,חיסכון ארוך טווח,30/03/2020,1004606,5658,14,48.5,6,לא פעיל,28/03/2021
C1688,יניב אברהם,33,זכר,מודיעין,תכנון פיננסי,02/06/2023,1159621,6311,5,66.1,9,פעיל,
C1689,נדב דיין,29,זכר,רמת גן,תכנון פיננסי,25/05/2021,858077,3060,7,16.1,8,לא פעיל,05/12/2022
C1690,טל סלומון,33,זכר,ראשון לציון,ביטוח רכב,08/11/2022,907706,705,10,12.8,1,פעיל,
C1691,שירה דהן,59,נקבה,תל אביב,ביטוח רכב,23/11/2020,735282,6028,13,21,9,לא פעיל,27/02/2022
C1692,יותם ברק,35,זכר,גבעתיים,פנסיה,04/01/2021,776962,5416,7,9.2,6,לא פעיל,27/10/2022
C1693,מיכל שגיא,35,נקבה,חיפה,חיסכון ארוך טווח,31/10/2021,1315104,6284,10,49,9,פעיל,
C1694,טל נחמני,35,זכר,ירושלים,ייעוץ מס,28/02/2020,888074,1164,2,59.4,7,פעיל,
C1695,ליאור בוחבוט,68,זכר,באר שבע,ביטוח רכב,08/12/2021,514372,2477,12,61.5,2,פעיל,
C1696,רחל מזרחי,57,נקבה,תל אביב,חיסכון ארוך טווח,28/01/2023,1188341,6386,8,36.8,2,לא פעיל,21/11/2023
C1697,דור ביטון,50,זכר,ראשון לציון,חיסכון ארוך טווח,18/07/2021,678233,3509,8,25.4,5,לא פעיל,13/08/2022
C1698,שרה פרידמן,70,נקבה,רמת גן,ייעוץ מס,16/01/2020,421287,3682,15,2.1,3,לא פעיל,11/07/2020
C1699,אייל טובים,50,זכר,חיפה,ביטוח רכב,17/10/2021,1051537,3772,1,35.1,10,פעיל,
C1700,עמית ויס,50,זכר,רעננה,פנסיה,11/11/2020,895102,2705,11,12.8,8,פעיל,
C1701,איתי רפפורט,70,זכר,נתניה,תכנון פיננסי,15/01/2020,932063,1765,10,83.3,5,פעיל,
C1702,אבי עזרא,50,זכר,רעננה,תכנון פיננסי,16/07/2019,616197,3155,0,91.4,7,פעיל,
C1703,סהר פרידמן,54,זכר,הרצליה,ביטוח בריאות,03/11/2019,695371,6496,0,60.7,1,פעיל,
C1704,נדב פרץ,65,זכר,גבעתיים,ביטוח רכב,05/05/2021,484499,1647,0,34.7,2,פעיל,
C1705,אייל אזולאי,66,זכר,גבעתיים,ביטוח רכב,13/09/2024,1260051,3698,11,25.8,7,פעיל,
C1706,שלמה דרור,29,זכר,נתניה,ייעוץ השקעות,11/08/2020,458275,3156,10,5,2,לא פעיל,11/01/2021
C1707,נדב סופר,29,זכר,גבעתיים,ביטוח חיים,26/02/2025,1495339,6962,3,71.9,3,לא פעיל,30/03/2026
C1708,תמר כהן,36,נקבה,רעננה,ביטוח רכב,31/05/2020,755271,2043,8,95.5,5,לא פעיל,19/03/2022
C1709,אריאל חזן,30,זכר,ראשון לציון,ייעוץ השקעות,02/06/2020,372346,703,7,10.7,4,לא פעיל,06/03/2021
C1710,אלון עטר,49,זכר,אשדוד,ביטוח חיים,09/03/2019,553825,3116,14,15.3,10,לא פעיל,19/01/2021
C1711,רועי פרידמן,57,זכר,ראשון לציון,ייעוץ השקעות,09/08/2019,2820077,1605,13,58.8,6,פעיל,
C1712,הדר כהן,50,נקבה,הרצליה,ייעוץ מס,16/05/2021,952056,3474,7,61.7,8,פעיל,
C1713,עמית אברהם,35,זכר,ירושלים,ביטוח בריאות,10/12/2023,1106268,1541,2,54.2,8,לא פעיל,26/08/2024
C1714,דוד שפירא,57,זכר,חיפה,תכנון פיננסי,17/01/2022,899048,6759,8,31,3,פעיל,
C1715,דוד מזרחי,53,זכר,רמת גן,ביטוח חיים,06/02/2020,603317,6801,4,78,4,פעיל,
C1716,צחי ינאי,26,זכר,כפר סבא,ביטוח בריאות,23/05/2021,1114842,5739,14,53.8,10,לא פעיל,24/01/2022
C1717,מיכל כהן,66,נקבה,רמת גן,פנסיה,28/09/2024,1148603,6699,6,47.9,4,פעיל,
C1718,שלמה עוז,30,זכר,מודיעין,ייעוץ השקעות,12/04/2023,1724218,1741,12,17.7,7,לא פעיל,22/12/2023
C1719,שירה מזרחי,53,נקבה,אשדוד,ביטוח בריאות,23/01/2022,603069,2570,6,63.3,2,פעיל,
C1720,יעל רוזן,45,נקבה,הרצליה,חיסכון ארוך טווח,02/09/2024,1090453,5171,8,48.2,10,פעיל,
C1721,דנה עוז,37,נקבה,נתניה,תכנון פיננסי,04/07/2024,1008482,6682,9,32.2,9,פעיל,
C1722,עמית סלומון,70,זכר,מודיעין,ביטוח רכב,14/07/2019,398882,4434,13,10.5,1,פעיל,
C1723,דני שמש,48,זכר,תל אביב,תכנון פיננסי,30/04/2024,979761,6095,2,91.7,6,לא פעיל,09/10/2024
C1724,יצחק לוי,34,זכר,הרצליה,ייעוץ מס,10/05/2022,1123520,4779,11,46.9,7,לא פעיל,13/09/2023
C1725,יריב סלומון,29,זכר,אשדוד,ייעוץ השקעות,31/03/2024,1515761,3077,13,67.3,10,פעיל,
C1726,רון טובים,37,זכר,רמת גן,תכנון פיננסי,26/01/2025,1333485,4641,3,87.1,3,לא פעיל,01/11/2026
C1727,אמיר ברזילי,50,זכר,רמת גן,ביטוח חיים,11/06/2022,943407,5523,6,67.4,6,לא פעיל,25/12/2023
C1728,עמית אזולאי,58,זכר,גבעתיים,ייעוץ השקעות,20/09/2021,1105841,3847,0,72.5,5,לא פעיל,13/08/2022
C1729,יוסי אזולאי,39,זכר,רעננה,ייעוץ מס,23/12/2023,1653159,3876,0,39.1,8,לא פעיל,15/09/2024
C1730,רועי סלומון,54,זכר,הרצליה,ביטוח רכב,09/10/2024,1096413,142,3,83.8,5,לא פעיל,26/12/2025
C1731,יוסי שמש,32,זכר,גבעתיים,ייעוץ מס,10/05/2023,1239566,5461,1,38.5,1,לא פעיל,28/04/2024
C1732,רון ברזילי,45,זכר,רמת גן,ביטוח בריאות,26/02/2022,852974,4713,14,40.2,10,לא פעיל,11/10/2023
C1733,יריב וינר,52,זכר,אשדוד,ביטוח בריאות,17/09/2023,872112,5361,6,49.3,9,פעיל,
C1734,מאור לוי,61,זכר,רמת גן,ביטוח בריאות,07/10/2019,545920,4260,3,19.6,4,לא פעיל,19/04/2021
C1735,יותם צור,65,זכר,כפר סבא,ייעוץ מס,27/02/2023,739141,3118,2,44.9,2,לא פעיל,29/05/2023
C1736,אלון ויס,55,זכר,גבעתיים,ביטוח בריאות,10/06/2020,589021,3842,8,55.5,2,פעיל,
C1737,שלמה כספי,43,זכר,אשדוד,ביטוח בריאות,10/04/2020,1157785,2223,2,50.2,7,פעיל,
C1738,יוסי ינאי,26,זכר,מודיעין,פנסיה,06/01/2020,867110,3358,9,3,2,פעיל,
